event_number,priority,address,is_incident,geometry_wkt,timestamp,disposition
E1900110405,4,201 S 4TH AVE PHX,f,POINT(-112.18 33.52),2019-08-08 10:42:35,3
E1900144352,4,201 S 4TH AVE PHX,f,POINT(-112.18 33.63),2019-10-12 09:08:18,3
E2000064627,4,201 S 4TH AVE PHX,f,POINT(-112.18 33.58),2020-05-13 23:02:37,9
E2100007191,2,7734 N 83RD AVE MC,f,POINT(-112.18 33.63),2021-01-15 10:23:14,9
E2100066249,3,7300 W FLOWER,f,POINT(-112.18 33.53),2021-05-05 09:06:19,1
E1800088585,3,9400 W WESTGATE BLVD GLENDALE AZ 85305,f,POINT(-112.18 33.52),2018-06-14 21:15:45,6
E1800089133,4,5200 W ORAIBI DR GLENDALE AZ 85308,f,POINT(-112.23 33.53),2018-06-15 22:09:43,2
E1800090643,3,5100 W OLIVE AVE GLENDALE AZ 85302,t,POINT(-112.2 33.65),2018-06-19 14:26:36,2
E1800091629,4,6300 W HILL LN GLENDALE AZ 85310,f,POINT(-112.18 33.55),2018-06-21 12:59:35,6
E1800091774,3,6600 N 65TH AVE GLENDALE AZ 85301,f,POINT(-112.19 33.59),2018-06-21 18:12:44,1
